forces,force_addedmass,force_inertia,force_drag,time,displacement,velocity,acceleration,enstrophy
-10.865587166747131,-1.2301809257511807,-9.635406240995952,-604.9548717436612,13.563671874999953,-472.58884691183056,-0.4176763904342421,-0.0014655847859067353,714223.187623258
-10.370293995821106,-0.6375796115683072,-9.732714384252798,-605.1669001578016,13.564453124999952,-472.6306219528066,-0.4178244290875475,-0.0014803865330542865,712701.399864273
-10.543548507081375,-0.7034657821661652,-9.84008272491521,-605.3810664959491,13.565234374999951,-472.6724118793079,-0.41797410093861165,-0.001496718510641442,711102.7059612615
-9.935707746795003,-0.08296634836849977,-9.852741398426502,-605.597592519411,13.56601562499995,-472.7142167826256,-0.41812396541560776,-0.0014986447699610647,709537.1535288496
-9.608646564655999,0.21176420818880345,-9.820410772844808,-605.8143910505353,13.56679687499995,-472.75603664780704,-0.4182733382131532,-0.00149372797545481,708013.0685365767
-12.68171491668589,-2.482369826496566,-10.199345090189324,-606.0304706608712,13.56757812499995,-472.79787173846057,-0.4184284748577432,-0.001551366445899922,706508.0782643962
-10.45034489577061,-0.21776250451601487,-10.232582391254606,-606.2548949457332,13.568359374999948,-472.8397223680608,-0.41858411714681815,-0.001556422890749566,705000.4570733494
-6.730360032367875,3.038368105637961,-9.768728138005828,-606.4800454159183,13.569140624999948,-472.88158820912247,-0.4187327040867047,-0.0014858693988658348,703544.7107879698
-8.706558989595537,0.9214815928161911,-9.628040582411725,-606.6949671241911,13.569921874999947,-472.9234688018863,-0.41887915119060914,-0.0014644710390443183,702090.7174107205
-5.53063655223506,3.5546883714965354,-9.085324923731605,-606.9067821462758,13.570703124999946,-472.9653636266165,-0.4190173434138778,-0.0013819222326867289,700633.9886583749
-9.193438995203584,-0.09379856809294741,-9.099640427110632,-607.1066305661752,13.571484374999946,-473.00727228146064,-0.41915575346863615,-0.0013841005475833462,699175.0212220799
-11.922177284596717,-2.4486682446090424,-9.473509039987679,-607.3067884138547,13.572265624999945,-473.0491950616512,-0.41929985034149503,-0.0014409687285887867,697741.2121784781
-11.192225905064774,-1.4910541161436859,-9.701171788921078,-607.5151796512292,13.573046874999944,-473.09113242467697,-0.41944741017436116,-0.0014755983286615264,696340.2399685922
-11.127118702797622,-1.2370604926543975,-9.89005821014323,-607.7285822183177,13.573828124999944,-473.1330846873439,-0.4195978431647505,-0.0015043299038935277,694968.6132089187
