forces,force_addedmass,force_inertia,time,displacement,velocity,acceleration
-166.27830946828024,10.513798092549537,-176.79210756082958,-4657.36196219408,13.462890624999952,-981.8549515426207,-0.7939702935067302,-0.006636519234822322
-165.7023608766735,9.639657330196183,-175.34201820686974,-4661.492549573855,13.463671874999951,-981.9343814807414,-0.7946284689068519,-0.006581754001216701
-147.56316825015193,24.13440180305813,-171.69757005321006,-4665.591429065185,13.46445312499995,-982.0138765507793,-0.7952729318505485,-0.00644462943696604
-140.11822265641968,27.434613296767974,-167.5528359531876,-4669.610223166877,13.46523437499995,-982.0934352876715,-0.7959018059939612,-0.006288741434127595
-164.47606599993938,2.6794931805787723,-167.15555918051814,-4673.537888486017,13.46601562499995,-982.1730568358453,-0.7965291574827932,-0.006273514888319607
-143.76558938585396,20.321127911748082,-164.08671729760192,-4677.456998783806,13.466796874999948,-982.2527405417355,-0.7971449603222529,-0.006158028394597499
-148.85946261376134,13.2315770916187,-162.09103970537993,-4681.308661400988,13.467578124999948,-982.3324854518997,-0.7977532429613435,-0.0060828263909059955
-156.28529083482863,5.04911184497206,-161.3344026798006,-4685.116512344072,13.468359374999947,-982.4122910468327,-0.7983586556990478,-0.006054127377043229
-141.43868670105,17.28528657556283,-158.7239732766131,-4688.907844936817,13.469140624999946,-982.4921566917556,-0.7989542427589121,-0.00595587059864241
-145.3677503318191,11.605817078893184,-156.97356741071218,-4692.641790221171,13.469921874999946,-982.5720815654973,-0.7995432320759219,-0.005889893170097415
-140.44147399990752,14.36350538113092,-154.80497938103844,-4696.337288096889,13.470703124999945,-982.6520649298668,-0.8001240553133282,-0.0058082323740623176
-125.33868164550118,25.595187190681095,-150.9338688361822,-4699.985108878826,13.471484374999944,-982.732105648923,-0.8006903258110387,-0.005662704977104861
-146.79683038062467,3.5991150188966157,-150.39594539952134,-4703.547716680013,13.472265624999944,-982.8122028927032,-0.8012545497922875,-0.005642239812487996
-149.69991236605455,0.610971414240625,-150.31088378029517,-4707.098557599826,13.473046874999943,-982.8923565415098,-0.8018184263387833,-0.00563876546495766
-148.52989021907104,1.5530839730846384,-150.08297419215552,-4710.647601265718,13.473828124999942,-982.9725665338088,-0.8023814196428132,-0.005629933040298873
-140.51102768457488,8.31823460090345,-148.82926228547834,-4714.191689018549,13.474609374999941,-983.0528325888907,-0.8029396819942662,-0.005582623514530427
-134.04873487989857,12.840780953629926,-146.88951583352852,-4717.708202580682,13.47539062499994,-983.1331541050242,-0.8034906406766693,-0.005509586824031048
-125.28056618000954,18.769675919963284,-144.05024209997293,-4721.1820110424915,13.47617187499994,-983.2135301831893,-0.80403092262478,-0.005402819481107471
-151.01729816844212,-6.043205793365251,-144.97409237507694,-4724.593277724576,13.47695312499994,-983.2939604614393,-0.8045746423748369,-0.005437197500568464
-129.5800781337675,13.372656121079602,-142.95273425484692,-4728.024926800333,13.477734374999939,-983.3744447312711,-0.8051107542606715,-0.005361118858345653
-114.61485656667375,24.611098684346914,-139.22595525102054,-4731.412039721453,13.478515624999938,-983.4549819121634,-0.805632863585107,-0.00522109324435522
-133.60310418990642,4.888109861084385,-138.49121405099075,-4734.717018956873,13.479296874999937,-983.5355711649229,-0.8061521916043151,-0.005193280192080312
-129.17110203777858,8.09810803397165,-137.26921007175036,-4738.00579406617,13.480078124999936,-983.6162121200791,-0.8066669115194958,-0.005147199151807435
-135.62927316728135,1.4297864616985958,-137.05905962897984,-4741.2676166968895,13.480859374999936,-983.696904506544,-0.8071808177789039,-0.0051390625940820915
-183.60699677428192,-40.407596839395616,-143.19939993488626,-4744.524777649017,13.481640624999935,-983.7776494334637,-0.8077177206144766,-0.005369028355726461
-120.48990018805354,19.722570595618933,-140.21247078367233,-4747.917228916444,13.482421874999934,-983.8584474894069,-0.8082433982492817,-0.005256776348051258
-96.49056945322344,37.96479367000923,-134.45536312323262,-4751.243810466951,13.483203124999934,-983.9392970326456,-0.8087474665246585,-0.005040682753767611
-57.00081688619496,67.24968729821644,-124.25050418441127,-4754.443458334423,13.483984374999933,-984.0201950686711,-0.8092132539843343,-0.004657874596758696
-124.11159538068887,0.12595559979896534,-124.23755098048798,-4757.418133137763,13.484765624999932,-984.1011396798574,-0.8096789697408537,-0.004657157565193865
-156.93927299727773,-28.38448448698098,-128.55478851029687,-4760.392438710854,13.485546874999931,-984.1821316706009,-0.8101608451306953,-0.004818753898415891
-140.6238879204382,-10.472031710403547,-130.15185621003457,-4763.461802040085,13.48632812499993,-984.2631721469966,-0.8106486827811437,-0.004878376504483648
-109.47515147682107,17.955422298606543,-127.43057377542767,-4766.566269921937,13.48710937499993,-984.3442608959759,-0.8111262968053187,-0.004776140241750304
-112.77760663579912,12.725787248983407,-125.5033938847826,-4769.6106635444,13.48789062499993,-984.4253970440369,-0.8115966644152558,-0.004703676099371459
-109.57830636323501,13.829820511062353,-123.40812687429728,-4772.612474440192,13.488671874999929,-984.5065798350786,-0.8120591564184587,-0.004624920032029171
-123.93580639364681,-0.4527768561945403,-123.48302953745224,-4775.56798917143,13.489453124999928,-984.5878088882134,-0.8125219062795974,-0.004627498611386808
-121.5831387077067,1.6545162698927613,-123.23765497759946,-4778.525027815033,13.490234374999927,-984.6690841692188,-0.8129837138260625,-0.004618075464650332
-127.74527290521293,-3.907576172963207,-123.83769673224964,-4781.4765252279585,13.491015624999926,-984.7504057422622,-0.8134477470427807,-0.004640332167182104
-123.32446383873979,0.4507957446460086,-123.77525958338578,-4784.441107099966,13.491796874999926,-984.8317737057882,-0.8139115234793409,-0.004637764365603093
-96.57633898135788,23.614646064197366,-120.19098504555512,-4787.404167194923,13.492578124999925,-984.9131873743513,-0.8143618477811395,-0.004503243017985341
-109.49973200367273,9.28526577980898,-118.78499778348176,-4790.28808042543,13.493359374999924,-984.9946458108589,-0.8148068823706169,-0.004450345894774646
-111.07706842844397,6.695536236430877,-117.77260466487496,-4793.140844747563,13.494140624999924,-985.0761485600946,-0.8152481023438232,-0.004412199732062211
-109.92758550406406,6.814379274127238,-116.74196477819136,-4795.9711272113545,13.494921874999923,-985.157695237199,-0.8156854397460411,-0.0043733740221792924
-113.69188158227982,2.652347496777844,-116.34422907905761,-4798.778518725405,13.495703124999922,-985.2392855724787,-0.816121265847254,-0.004358261012128018
-108.21469570399276,7.061051277739085,-115.27574698173179,-4801.576961199727,13.496484374999921,-985.3209192891874,-0.8165530683262716,-0.004318024790176168
-126.01977994917257,-9.320390285308138,-116.69938966386445,-4804.351665806587,13.49726562499992,-985.402596451714,-0.8169901822057385,-0.004371138794669317
-111.20349004493427,4.775020183268502,-115.97851022820275,-4807.1575505258,13.49804687499992,-985.4843171895633,-0.8174245747808645,-0.004343925751260496
-103.66212330209518,10.694572816758836,-114.35669611885402,-4809.947347704466,13.49882812499992,-985.5660810619072,-0.8178528720973511,-0.0042829731648658395
-103.67664932099942,9.27414505710276,-112.95079437810215,-4812.70119525947,13.499609374999919,-985.6478874996815,-0.8182758833888091,-0.004230112914579785
-108.11518892213381,4.201564947861451,-112.31675386999527,-4815.423844744436,13.50039062500001,-985.7297361188384,-0.8186964997499235,-0.004206163611144348
-111.5214433110832,0.6949567371201839,-112.21640004820343,-4818.132300747749,13.50117187500001,-985.8116267798237,-0.8191167199553545,-0.004202202054309944
-102.64510237121524,8.311379303416533,-110.95648167463179,-4820.838319573172,13.501953125000009,-985.8935592259228,-0.819532202026307,-0.004154820709524915
-92.37989882389273,16.126534434958753,-108.50643325885144,-4823.516340144971,13.502734375000008,-985.9755327605324,-0.8199384901643365,-0.004062881380294737
-104.64417991265279,3.356387256827758,-108.00056716948049,-4826.14012660678,13.503515625000007,-986.0575468282741,-0.8203428646713871,-0.004043745070505146
-116.68340146464273,-7.530769112112949,-109.15263235252979,-4828.752519905522,13.504296875000007,-986.1396015481612,-0.8207515330708065,-0.004086683994194723
-114.07950400845382,-4.271107949952296,-109.80839605850144,-4831.390054358978,13.505078125000006,-986.2216972566604,-0.8211626369128796,-0.00411103842073138
-99.7791713819143,8.708047097851015,-108.4872184797653,-4834.041788379186,13.505859375000005,-986.303833827257,-0.8215687750202405,-0.004061381073608771
-89.99645634141487,16.050780882145695,-106.04723722356054,-4836.664147698136,13.506640625000005,-986.3860105539926,-0.821965759691715,-0.003969846714745353
-101.72786125462073,3.7526975668809315,-105.48055882150169,-4839.232468761235,13.507421875000004,-986.4682268721848,-0.8223606041520254,-0.003948444603103936
-103.78064337817938,1.4795111943855426,-105.26015457256472,-4841.788030743943,13.508203125000003,-986.5504826326314,-0.82275460477984,-0.003940006278146386
-98.87236617712216,5.547438436982369,-104.41980461410454,-4844.338460268886,13.508984375000002,-986.632777634934,-0.8231454412707743,-0.003908364909343377
-91.99892151365916,10.78254601543972,-102.78146752909893,-4846.870089616109,13.509765625000002,-986.7151114133618,-0.8235301272857741,-0.003846860149998366
-105.03852968285975,-1.954309494677878,-103.08422018818194,-4849.365326586407,13.510546875000001,-986.7974837161322,-0.8239159281219993,-0.0038580083622515105
-108.03971271308109,-4.295780350251362,-103.74393236282985,-4851.866945441779,13.511328125,-986.8798947215179,-0.8243041795912934,-0.003882514692941211
-100.99202831069921,2.3921272619560328,-103.38415557265515,-4854.382809472334,13.512109375,-986.9623444838143,-0.8246910663370194,-0.0038688674572591986
-98.73315256004338,4.0399281262227245,-102.7730806862661,-4856.890446488909,13.512890624999999,-987.0448328195387,-0.8250756481508791,-0.0038458181385968167
-94.50979907103317,7.174187056460301,-101.68398612749336,-4859.384313647589,13.513671874999998,-987.1273594087759,-0.8254561365943257,-0.003804884434466299
-100.15521152472706,1.330637163107602,-101.48584868783463,-4861.853871123771,13.514453124999998,-987.2099240088944,-0.8258358657756226,-0.003797291812969306
-104.73572940066924,-2.8156874651558086,-101.9200419355134,-4864.318749873464,13.515234374999997,-987.292526662267,-0.8262172016767586,-0.003813359011359594
-98.57029749757287,2.9105735072829284,-101.48087100485569,-4866.7928818920345,13.516015624999996,-987.375167366182,-0.8265968766233623,-0.0037967494660377317
-95.21704034466234,5.438903923160229,-100.65594426782245,-4869.257015497295,13.516796874999995,-987.4578458823945,-0.8269734476259517,-0.003765710025893282
-81.21913825153366,16.86811672142847,-98.08725497296217,-4871.702644680256,13.517578124999995,-987.5405615743558,-0.8273403915998271,-0.0036694397387542982
-83.15725840885321,12.957571343440847,-96.11482975229406,-4874.09133365369,13.518359374999994,-987.6233135909355,-0.8276999399924337,-0.0035954839260666405
-101.98478309030313,-5.08896257554019,-96.89582051476293,-4876.436217307411,13.519140624999993,-987.7061017075893,-0.8280623930821741,-0.0036245308974034536
-103.90705603928141,-6.079048897896766,-97.82800714138465,-4878.797973171545,13.519921874999993,-987.7889262430522,-0.8284283161760223,-0.003659230938481625
-106.52657936491826,-7.542854634634718,-98.98372473028351,-4881.179930681381,13.520703124999992,-987.8717875861139,-0.8287985450584648,-0.0037022888244251755
-82.91563764654397,13.944281253167691,-96.85991889971162,-4883.587013668669,13.521484374999991,-987.9546855540433,-0.8291608135284325,-0.0036226846996762646
-90.20127302995569,5.780692810459106,-95.98196584041484,-4885.9469416028705,13.52226562499999,-988.0376195838091,-0.8295197817877407,-0.003589682593081196
-99.59934628036838,-3.1344452927270456,-96.4649009876413,-4888.287166474954,13.52304687499999,-988.1205895998786,-0.8298805396004415,-0.00360757812700869
-96.18378766934043,0.24772163703562536,-96.43150930637604,-4890.637676872335,13.523828124999989,-988.2035956846573,-0.8302411559738861,-0.0036061637344459905
-88.46233860601373,6.9173532856212185,-95.37969189163488,-4892.987090430498,13.524609374999988,-988.2866376335867,-0.8305978226128794,-0.0035666663899326318
-87.21390461062443,7.0877848457438,-94.30168945636822,-4895.312958433684,13.525390624999988,-988.3697150468173,-0.8309504419998516,-0.0035261938697218093
-86.27658166378029,6.965603472892217,-93.24218513667263,-4897.614699393153,13.526171874999987,-988.4528275231025,-0.831299083704317,-0.0034864170446546237
-97.69253536625953,-3.8569960323796795,-93.83553933387988,-4899.892716611759,13.526953124999986,-988.5359749736898,-0.8316499280414079,-0.0035084433709083535
